Weights,1,2,3,4,5,6,7,8,,1_w,2_w,3_w,4_w,5_w,6_w,7_w,8_w
0,0.021810438,0.002268201,-0.008962782,-0.001411766,0.014663519,0.031353091,0.01148512,0.017452553,,0.00E+00,4.95E-05,-2.03E-05,1.27E-05,-2.07E-05,4.60E-04,3.60E-04,2.00E-04
0,0.012197233,0.017967379,0.003575151,0.019914885,0.025248526,0.036629946,0.017393974,0.033575954,,0.00E+00,2.19E-04,6.42E-05,7.12E-05,5.03E-04,9.25E-04,6.37E-04,5.84E-04
1.50E-14,0.032914249,0.02039988,0.008591786,0.017431191,0.025181676,0.034137224,0.009464257,0.022157221,,4.94E-16,6.71E-04,1.75E-04,1.50E-04,4.39E-04,8.60E-04,3.23E-04,2.10E-04
0,0.015000689,0.011810781,0.038618047,0.00933719,0.0293032,0.010914334,0.024248187,0.026856328,,0.00E+00,1.77E-04,4.56E-04,3.61E-04,2.74E-04,3.20E-04,2.65E-04,6.51E-04
0,0.024801399,0.025297602,0.010470692,0.022663957,0.022715933,0.030799136,0.011823658,0.030581368,,0.00E+00,6.27E-04,2.65E-04,2.37E-04,5.15E-04,7.00E-04,3.64E-04,3.62E-04
0,0.026193672,0.015060067,0.005361702,0.015210698,0.027048152,0.037812754,0.012429087,0.0244875,,0.00E+00,3.94E-04,8.07E-05,8.16E-05,4.11E-04,1.02E-03,4.70E-04,3.04E-04
0,0.02660496,0.012722296,-0.001610485,0.006834036,0.01869225,0.035278455,0.008776134,0.017445442,,0.00E+00,3.38E-04,-2.05E-05,-1.10E-05,1.28E-04,6.59E-04,3.10E-04,1.53E-04
5.27E-14,0.03948436,0.029227298,0.012720279,0.023036126,0.032004656,0.041912045,0.02020528,0.02248708,,2.08E-15,1.15E-03,3.72E-04,2.93E-04,7.37E-04,1.34E-03,8.47E-04,4.54E-04
4.00E-14,-0.002677092,-0.004770437,0.004873637,0.010224124,0.014536017,0.016824599,0.018559004,0.044918717,,-1.07E-16,1.28E-05,-2.32E-05,4.98E-05,1.49E-04,2.45E-04,3.12E-04,8.34E-04
0,0.015422568,0.002675883,0.008254652,0.011001895,0.016175516,0.018301882,0.012243612,0.034096051,,0.00E+00,4.13E-05,2.21E-05,9.08E-05,1.78E-04,2.96E-04,2.24E-04,4.17E-04
0,0.010374075,0.013298821,0.018490243,0.014959439,0.031374771,0.012663378,0.017934311,0.016677422,,0.00E+00,1.38E-04,2.46E-04,2.77E-04,4.69E-04,3.97E-04,2.27E-04,2.99E-04
0,0.006566088,0.001904787,0.008001562,0.012558517,0.01420031,0.016044272,0.014971938,0.041944057,,0.00E+00,1.25E-05,1.52E-05,1.00E-04,1.78E-04,2.28E-04,2.40E-04,6.28E-04
0,0.007067503,-0.001573977,0.008680475,0.011153592,0.022594699,0.024981197,0.017433979,0.031409153,,0.00E+00,-1.11E-05,-1.37E-05,9.68E-05,2.52E-04,5.64E-04,4.36E-04,5.48E-04
0,0.01111541,-0.002590151,0.001618999,-0.000109729,0.007624074,0.01699319,0.010630638,0.022605988,,0.00E+00,-2.88E-05,-4.19E-06,-1.78E-07,-8.37E-07,1.30E-04,1.81E-04,2.40E-04
0,0.022029601,0.003984684,0.010120027,0.009443255,0.021318124,0.022837787,0.01980157,0.02438442,,0.00E+00,8.78E-05,4.03E-05,9.56E-05,2.01E-04,4.87E-04,4.52E-04,4.83E-04
0,0.026297905,0.016766102,0.019229324,0.01984255,0.024601018,0.026116337,0.013310434,0.025421354,,0.00E+00,4.41E-04,3.22E-04,3.82E-04,4.88E-04,6.42E-04,3.48E-04,3.38E-04
